stmt,true,sh_true,sh_false,sh_disp,modal,p,nd
0,true,0.9318181818181818,0.0,0.06818181818181818,true,true,true
1,true,0.8939393939393939,0.0,0.10606060606060606,true,true,true
2,false,0.0,1.0,0.0,false,false,false
3,disputed,0.0,0.0,1.0,disputed,disputed,true
4,true,0.17424242424242425,0.0,0.8257575757575758,disputed,disputed,true
5,disputed,0.0,0.0,1.0,disputed,disputed,true
6,false,0.0,1.0,0.0,false,false,false
7,true,0.0,0.0,1.0,disputed,disputed,true
8,true,0.0,0.0,1.0,disputed,disputed,true
9,false,0.0,0.19696969696969696,0.803030303030303,disputed,disputed,false
10,false,0.0,0.13257575757575757,0.8674242424242424,disputed,disputed,false
11,true,0.0,0.0,1.0,disputed,disputed,true
12,disputed,0.003787878787878788,0.0,0.9962121212121212,disputed,disputed,true
13,false,0.0,0.5340909090909091,0.4659090909090909,false,false,false
14,true,0.0,0.0,1.0,disputed,disputed,true
15,true,1.0,0.0,0.0,true,true,true
16,disputed,0.0,1.0,0.0,false,false,false
17,false,0.0,0.9659090909090909,0.03409090909090909,false,false,false
18,disputed,0.8901515151515151,0.0,0.10984848484848485,true,true,true
19,true,1.0,0.0,0.0,true,true,true
20,false,0.0,0.8295454545454546,0.17045454545454544,false,false,false
21,false,0.0,0.375,0.625,disputed,disputed,false
22,disputed,0.29545454545454547,0.0,0.7045454545454546,disputed,disputed,true
23,disputed,0.0,0.0,1.0,disputed,disputed,true
24,disputed,0.0,0.12878787878787878,0.8712121212121212,disputed,disputed,false
25,true,0.8446969696969697,0.0,0.1553030303030303,true,true,true
26,true,0.9772727272727273,0.0,0.022727272727272728,true,true,true
27,false,0.0,0.946969696969697,0.05303030303030303,false,false,false
28,false,0.0,0.8371212121212122,0.16287878787878787,false,false,false
29,true,0.9885931558935361,0.0,0.011406844106463879,true,true,true
30,true,1.0,0.0,0.0,true,true,true
31,false,0.0,1.0,0.0,false,false,false
32,false,0.0,1.0,0.0,false,false,false
33,true,0.003787878787878788,0.030303030303030304,0.9659090909090909,disputed,disputed,false
34,true,0.7765151515151515,0.0,0.22348484848484848,true,true,true
35,false,0.0,0.9015151515151515,0.09848484848484848,false,false,false
36,true,1.0,0.0,0.0,true,true,true
37,true,0.8326996197718631,0.0,0.16730038022813687,true,true,true
38,false,0.0,0.8712121212121212,0.12878787878787878,false,false,false
39,false,0.0,1.0,0.0,false,false,false
40,true,0.9621212121212122,0.0,0.03787878787878788,true,true,true
41,true,1.0,0.0,0.0,true,true,true
42,false,0.0,0.9621212121212122,0.03787878787878788,false,false,false
43,false,0.0,0.8901515151515151,0.10984848484848485,false,false,false
44,false,0.0,0.0,1.0,disputed,disputed,true
45,disputed,0.44696969696969696,0.0,0.553030303030303,disputed,disputed,true
46,false,0.0,0.0,1.0,disputed,disputed,true
47,false,0.0,0.7575757575757576,0.24242424242424243,false,false,false
48,disputed,0.0,0.0,1.0,disputed,disputed,true
49,false,0.0,0.030303030303030304,0.9696969696969697,disputed,disputed,false
50,disputed,0.0,0.0,1.0,disputed,disputed,true
51,true,0.6136363636363636,0.0,0.38636363636363635,true,true,true
52,disputed,0.0,0.0,1.0,disputed,disputed,true
53,true,0.04924242424242424,0.0,0.9507575757575758,disputed,disputed,true
54,true,0.7045454545454546,0.0,0.29545454545454547,true,true,true
55,false,0.0,0.0,1.0,disputed,disputed,true
56,false,0.0,0.0,1.0,disputed,disputed,true
57,true,0.3712121212121212,0.0,0.6287878787878788,disputed,disputed,true
58,disputed,0.0,0.4583333333333333,0.5416666666666666,disputed,disputed,false
59,false,0.0,0.13257575757575757,0.8674242424242424,disputed,disputed,false
60,disputed,0.0,0.0,1.0,disputed,disputed,true
61,true,0.026515151515151516,0.0,0.9734848484848485,disputed,disputed,true
62,disputed,0.0,0.0,1.0,disputed,disputed,true
63,disputed,0.0,0.0,1.0,disputed,disputed,true
64,disputed,0.0,0.0,1.0,disputed,disputed,true
65,disputed,0.007575757575757576,0.0,0.9924242424242424,disputed,disputed,true
66,false,0.0,0.42803030303030304,0.571969696969697,disputed,disputed,false
67,false,0.0,0.6220472440944882,0.3779527559055118,false,false,false
68,disputed,0.0,0.003787878787878788,0.9962121212121212,disputed,disputed,false
69,true,1.0,0.0,0.0,true,true,true
70,false,0.0,0.9545454545454546,0.045454545454545456,false,false,false
71,false,0.0,1.0,0.0,false,false,false
72,disputed,0.0,0.0,1.0,disputed,disputed,true
73,false,0.0,0.003787878787878788,0.9962121212121212,disputed,disputed,false
74,false,0.0,0.32575757575757575,0.6742424242424242,disputed,disputed,false
75,true,0.25,0.0,0.75,disputed,disputed,true
76,disputed,0.0,0.10266159695817491,0.8973384030418251,disputed,disputed,false
77,true,0.0,0.06060606060606061,0.9393939393939394,disputed,disputed,false
78,false,0.0,0.11742424242424243,0.8825757575757576,disputed,disputed,false
79,true,0.8821292775665399,0.0,0.11787072243346007,true,true,true
80,true,0.3106060606060606,0.01893939393939394,0.6704545454545454,disputed,disputed,true
81,disputed,0.0,0.0,1.0,disputed,disputed,true
82,false,0.0,0.8143939393939394,0.1856060606060606,false,false,false
83,true,1.0,0.0,0.0,true,true,true
84,false,0.0,0.0946969696969697,0.9053030303030303,disputed,disputed,false
85,true,0.011363636363636364,0.011363636363636364,0.9772727272727273,disputed,disputed,true
86,false,0.0,0.9543726235741445,0.045627376425855515,false,false,false
87,true,0.6325757575757576,0.0,0.36742424242424243,true,true,true
88,false,0.0,0.9848484848484849,0.015151515151515152,false,false,false
89,true,0.9848484848484849,0.0,0.015151515151515152,true,true,true
90,disputed,0.07575757575757576,0.0,0.9242424242424242,disputed,disputed,true
91,false,0.0,0.9015151515151515,0.09848484848484848,false,false,false
92,disputed,0.0,0.0,1.0,disputed,disputed,true
93,false,0.0,0.9924242424242424,0.007575757575757576,false,false,false
94,true,0.07575757575757576,0.0,0.9242424242424242,disputed,disputed,true
95,false,0.0,0.0,1.0,disputed,disputed,true
96,disputed,0.0,0.0,1.0,disputed,disputed,true
97,true,0.06439393939393939,0.0,0.9356060606060606,disputed,disputed,true
98,disputed,0.0,0.0,1.0,disputed,disputed,true
99,true,0.8181818181818182,0.0,0.18181818181818182,true,true,true
100,disputed,0.0,0.7045454545454546,0.29545454545454547,false,false,false
101,true,0.48484848484848486,0.0,0.5151515151515151,disputed,disputed,true
102,true,0.5189393939393939,0.0,0.4810606060606061,true,true,true
103,false,0.0,0.678030303030303,0.32196969696969696,false,false,false
104,true,0.7386363636363636,0.05303030303030303,0.20833333333333334,true,true,true
105,true,1.0,0.0,0.0,true,true,true
106,disputed,0.0,0.22348484848484848,0.7765151515151515,disputed,disputed,false
107,false,0.0,1.0,0.0,false,false,false
